modded_class	vanilla_base	file	line
SCR_DamageManagerComponent		Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_DamageManagerComponent.c	1
SCR_EquipWeaponAction		Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_EquipWeaponAction.c	1
SCR_EquipWeaponHolsterAction		Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_EquipWeaponHolsterAction.c	1
SCR_InventoryMenuUI		Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_InventoryMenuUI.c	1
SCR_InventoryStorageManagerComponent	ScriptedInventoryStorageManagerComponent	Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_InventoryStorageManagerComponent.c	1
SCR_PickUpItemAction		Scripts/Game/GameMode/Specials/GunGame/VanillaOverrides/CRF_SCR_PickUpItemAction.c	1
SCR_MapMenuUI		Scripts/Game/GameMode/Specials/Looter/VanillaOverrides/CRF_SCR_MapMenuUI.c	1
CRF_PlayerRplToOwnerManager		Scripts/Game/GameMode/Specials/PropHunt/VanillaOverrides/CRF_PropHunt_PlayerRplToOwnerManager.c	22
SCR_DamageManagerComponent		Scripts/Game/GameMode/Specials/PropHunt/VanillaOverrides/CRF_PropHunt_SCR_DamageManagerComponent.c	25
SCR_BaseGameMode		Scripts/Game/Systems/Components/LeadershipArsenal/CRF_LeadersArsenal.c	26
SCR_BaseGameMode		Scripts/Game/Systems/Core/Entities/CRF_Gamemode.c	1
ACE_Carrying_BaseUserAction		Scripts/Game/Systems/ModdedOverrides/ACE/CRF_ACE_Carrying_BaseUserAction.c	1
SCR_CharacterControllerComponent		Scripts/Game/Systems/ModdedOverrides/ACE/CRF_ACE_Carrying_SCR_CharacterControllerComponent.c	1
Bacon_PlaySoundComponent		Scripts/Game/Systems/ModdedOverrides/Bacon/CRF_Bacon_PlaySoundComponent.c	1
CVON_VONGameModeComponent		Scripts/Game/Systems/ModdedOverrides/CRF_CVON_GamemodeOverride.c	7
SCR_NoiseFilterEffect		Scripts/Game/Systems/ModdedOverrides/CRF_SCR_NoiseFilterEffect.c	1
CSI_HUD		Scripts/Game/Systems/ModdedOverrides/CSI/CRF_CSI_HUD.c	1
SCR_GroupsManagerComponent		Scripts/Game/Systems/ModdedOverrides/CVON/CRF_CVON_GroupsManagerComponent.c	1
CVON_RadioComponent		Scripts/Game/Systems/ModdedOverrides/CVON/CRF_CVON_RadioComponent.c	1
SCR_VONController		Scripts/Game/Systems/ModdedOverrides/CVON/CRF_CVON_VONController.c	1
CVON_VONGameModeComponent		Scripts/Game/Systems/ModdedOverrides/CVON/CRF_CVON_VONGameModeComponent.c	1
GC_SuppressionSystem		Scripts/Game/Systems/ModdedOverrides/GC/CRF_GC_SuppressionSystem.c	1
LM_SuppressionScreenEffect		Scripts/Game/Systems/ModdedOverrides/LM/CRF_LM_SuppressionScreenEffect.c	2
ParachuteComponent		Scripts/Game/Systems/ModdedOverrides/Parachute/CRF_ParachuteComponent.c	2
SCR_ListBoxComponent		Scripts/Game/Systems/UI/CustomListbox/CRF_SCR_ListBoxComponent.c	1
SCR_ListBoxElementComponent		Scripts/Game/Systems/UI/CustomListbox/CRF_SCR_ListBoxElementComponent.c	1
SCR_PopUpNotification	GenericEntity	Scripts/Game/Systems/UI/HUDs/CRF_PopUpNotification.c	3
SCR_MapMarkersUI		Scripts/Game/Systems/UI/MapMarkers/CRF_MapMarker.c	1
EditorMenuUI		Scripts/Game/Systems/UI/Menus/CRF_EditorMenuUI.c	1
SCR_MapLightUI		Scripts/Game/Systems/UI/Menus/CRF_SCR_MapLightUI.c	2
SCR_AIGetCombatMoveRequestParameters_ChangeStance		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_AIGroupInfoComponent.c	1
