class	prop	on_rpl_name	file	line
CRF_FrontlineGamemodeManager	m_bGameStarted		Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	52
CRF_HighValueTargetGamemodeManager	m_aHvtPositions	SyncTransponderPositions	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	149
CRF_HighValueTargetGamemodeManager	m_sDeadHVTHint	OnDeadHVTHintReplicated	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	153
CRF_InsDestructiveComponent	m_bIsActiveReplicated	OnActiveStateReplicated	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	20
CRF_InsDestructiveComponent	m_bIsDestroyedReplicated	OnDestroyedStateReplicated	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	23
CRF_InsurgencyGamemodeManager	m_ObjCachesRplID		Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	18
CRF_InsurgencyGamemodeManager	m_ObjDestroyedCachesRplID		Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	21
CRF_InsurgencyGamemodeManager	m_iCurrentPhase		Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	24
CRF_InsurgencyGamemodeManager	m_iTimePhaseZoneReveals		Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	27
CRF_RushGamemodeManager	m_sReplicatedDestroyedMCOM	OnMCOMDestroyedReplicated	Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	125
CRF_RushGamemodeManager	m_bZone1AlphaDestroyed		Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	128
CRF_RushGamemodeManager	m_bZone1BetaDestroyed		Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	131
CRF_RushGamemodeManager	m_bZone2AlphaDestroyed		Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	134
CRF_RushGamemodeManager	m_bZone2BetaDestroyed		Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	137
CRF_RushGamemodeManager	m_bZone3AlphaDestroyed		Scripts/Game/GameMode/Rush/CRF_Rush_Game.c	140
