class	signature
AttachmentSlotComponent	bool OnTicksOnRemoteProxy ()
AttachmentSlotComponent	bool ShouldSetAttachment (IEntity attachmentEntity)
AttachmentSlotComponent	bool ShouldSetResource (Resource resource)
AttachmentSlotComponent	proto external BaseAttachmentType GetAttachmentSlotType ()
AttachmentSlotComponent	proto external IEntity GetAttachedEntity ()
AttachmentSlotComponent	proto external bool CanSetAttachment (IEntity attachmentEntity)
AttachmentSlotComponent	proto external bool IsObstructing ()
AttachmentSlotComponent	proto external bool ShouldShowInInspection ()
AttachmentSlotComponent	proto external void SetAttachment (IEntity attachmentEntity)
AttachmentSlotComponent	void OnDelete (IEntity owner)
BaseInventoryStorageComponent	InventoryStorageSlot GetEmptySlotForItem (IEntity item)
BaseInventoryStorageComponent	InventoryStorageSlot GetSlotScr (int slotID)
BaseInventoryStorageComponent	bool CanRemoveItem (IEntity item)
BaseInventoryStorageComponent	bool CanReplaceItem (IEntity nextItem, int slotID)
BaseInventoryStorageComponent	bool CanStoreItem (IEntity item, int slotID)
BaseInventoryStorageComponent	bool CanStoreResource (ResourceName resourceName, int slotID)
BaseInventoryStorageComponent	bool OnOverrideCanRemoveItem ()
BaseInventoryStorageComponent	bool OnOverrideCanReplaceItem ()
BaseInventoryStorageComponent	bool OnOverrideCanStoreItem ()
BaseInventoryStorageComponent	bool OnOverrideCanStoreResource ()
BaseInventoryStorageComponent	bool OnTicksOnRemoteProxy ()
BaseInventoryStorageComponent	bool OverridePlacementTransform (IEntity caller, out vector computedTransform[4])
BaseInventoryStorageComponent	bool ShouldChangeVisibilityOfHierarchy ()
BaseInventoryStorageComponent	bool ShouldHideInVicinity ()
BaseInventoryStorageComponent	bool ShouldPreviewAttachedItems ()
BaseInventoryStorageComponent	int GetSlotsCountScr ()
BaseInventoryStorageComponent	proto external BaseItemAttributeData FindAttribute (TypeName typeName)
BaseInventoryStorageComponent	proto external EStoragePurpose GetPurpose ()
BaseInventoryStorageComponent	proto external IEntity CreatePreviewEntity (BaseWorld world, int camera)
BaseInventoryStorageComponent	proto external IEntity Get (int slotID)
BaseInventoryStorageComponent	proto external IEntity GetOwner ()
