file	loc	classes	methods	sha256
Carved/data/00000_6738b77d.c	44	0	0	6738b77d0f99f837dafb21bf6d46ce49725e3ebd33c6938bfc697b08d9819863
Carved/data/00001_f2bfa794.c	124	0	0	f2bfa7942559c28f166a09f7f293eb26a6093f4d54ee9341a8ba67fc86f60124
Carved/data/00002_a94db873.c	125	0	0	a94db87384bcac2cbbcfa3fd00b23f09685ea4ba15d23cbf75cc607fc11eb621
Carved/data/00003_f5aa0ec5.c	26	0	0	f5aa0ec54c5d4eac164780a700fc42c37d76ff8af34df72c10fd4ac88db6dd61
Carved/data/00004_45422cfd.c	79	0	0	45422cfd24e2dc09a882416af3ed3f20d40fd6d4be1b682de5ebb28460524101
Carved/data/00005_2a9a8352.c	65	0	0	2a9a835206e796bb44e369d71ecfd2d87ec9fd1b3b8310b7aeb05cddd9223bfc
Carved/data/00006_6fc32d11.c	92	0	0	6fc32d111860f9b6390605df81f078ca7ff5c496ca3787f73082626dfb30dccf
Carved/data/00007_fa122669.c	58	0	0	fa122669c314dac532745ca51580d192e080e29fd0c5dfda3f67f63e85b14b03
Carved/data/00008_ae9763b2.c	112	1	0	ae9763b2524c065706fdcb2bdd33c2f2d8895dce42d782f7b9952ff980c66a8d
Carved/data/00009_9a84f7b7.c	49	0	0	9a84f7b783881308cdee05bf940688d01754575f70a4b8e5b1d3817c57e110ed
Carved/data/00010_888eeab0.c	84	0	0	888eeab0fe88c296a1e7489636b54b12882f94b6320bfda1e4a2da84bcd225aa
Carved/data/00011_5449afe8.c	71	0	0	5449afe8d5ca81663fac9e3ebf999d5971a22ee3a0a549a3703cd3b52c540a63
Carved/data/00012_da107bb6.c	245	0	0	da107bb6be290f2dcc2531ca2aef95233b77b0d26390a87d58a02b591fb6c6b5
Carved/data/00013_031a13d5.c	95	0	0	031a13d5850db7d97c80c21123faa0980b2b3be08c29e4fa0f67f63ed7c8610d
Carved/data/00014_634bb337.c	187	1	0	634bb3378099f5eade89261a69200ce317363c2a8de6795690b81a8e24f8295c
Carved/data/00015_7bc770fe.c	99	0	0	7bc770fe192d12b4ebe3857f892ef3082c710f274d9260362bccb5eb891c9969
Carved/data/00016_5288e038.c	46	0	0	5288e0380355b19cf90cd13caaad426918d1c687d2ae5bf9af750cbca4cb5411
Carved/data/00017_df527c5f.c	144	0	0	df527c5fed655e91ab573f5b6af094d200869436a2b1bd09f4f43f8b69c9eaff
Carved/data/00018_de6d19e4.c	108	0	0	de6d19e4a0f3a2f80b4b438c7895e3fcbc0761fceaa2cb330fcfa5019a2b9c30
Carved/data/00019_52596831.c	163	0	0	525968313f1c5dabc92e513fd75eb79c0659f89b9f8e2e1e663b7a36881a6cd3
Carved/data/00020_ddb39755.c	318	0	0	ddb3975540d8bae89dd83d4cc196b531645e273fff645be5b2a9b9e7bec233c0
Carved/data/00021_f60462d9.c	37	0	0	f60462d907b8b094afbb7c26b5260be2465162e5d31e57c27022c68857fef980
Carved/data/00022_4da02289.c	41	0	0	4da02289d47e47588325d325eee74e89d99ad9d1955124ac28e51c97341fb4c0
Carved/data/00023_5a30f955.c	38	0	0	5a30f955e431e1ed15b544be8058450cf917cf1f358939490c1481de7e4b60c0
Carved/data/00024_a75d2738.c	71	0	0	a75d273825fe5e13669ef6445b0003d6d08cf2531ae336a15907c984ec912730
Carved/data/00025_d5a38ada.c	55	0	0	d5a38adaa2c2bd2b4a53757494a89a5ad60aa8ca7062a5e49370edc2159e0dd1
Carved/data/00026_f8189b49.c	169	0	0	f8189b491cbdcf3502e13b0f5c6948d6d7113ea9977adaa44effb44f13bb6139
Carved/data/00027_75fb6082.c	80	0	0	75fb60826bcbf24a7e4b85e5b54635063165b02189fb971d141d748cfa6082b3
Carved/data/00028_c173de66.c	85	0	0	c173de66fea31b463780457556e761e3f78712a470ba84d80adce4b60497b75a
Carved/data/00029_a878a0c1.c	72	0	0	a878a0c12736c2896f5785de74c3d3f604f78561c27e558c681bde6c6dbc0380
Carved/data/00030_9020f397.c	310	0	0	9020f397f3edaac7eb3c8b80949d9d853e34b5b40456d6eedb612e0e997f5e1c
