class	prop	on_rpl_name	file	line
SCR_CacheNoteComponent	m_aLines		Carved/data007/00024_2b4914f1.c	12
SCR_VisibleInventoryItemComponent	m_bHideInVicinity		Carved/data007/00342_511912ac.c	9
SCR_CacheNoteComponent	m_aLines		Scripts/Game/Caches/SCR_CacheNoteComponent.c	7
SCR_AIGroup	m_iDeployedRadioCount		Source/SCR_AIGroup.c	174
SCR_BaseGameMode	m_eGameState	OnGameStateChanged	Source/SCR_BaseGameMode.c	194
SCR_BaseGameMode	m_pGameEndData		Source/SCR_BaseGameMode.c	197
SCR_BaseGameMode	m_fTimeElapsed		Source/SCR_BaseGameMode.c	203
SCR_BaseGameMode	m_bAllowControls		Source/SCR_BaseGameMode.c	206
SCR_BaseGameMode	m_bIsHosted		Source/SCR_BaseGameMode.c	213
SCR_BaseGameMode	m_aDisabledResourceTypes	OnResourceTypeEnabledChanged	Source/SCR_BaseGameMode.c	242
SCR_FactionManager	m_aPlayerFactionInfo	OnPlayerFactionInfoChanged	Source/SCR_FactionManager.c	22
SCR_PlayerController	m_MainEntityID	OnRplMainEntityFromID	Source/SCR_PlayerController.c	56
SCR_PlayerController	m_bIsPossessing		Source/SCR_PlayerController.c	60
SCR_SpawnPoint	m_sFaction	OnSetFactionKey	Source/SCR_SpawnPoint.c	40
SCR_SpawnPoint	m_iPriority		Source/SCR_SpawnPoint.c	49
SCR_SpawnPoint	m_fRespawnTime		Source/SCR_SpawnPoint.c	64
SCR_SpawnPoint	m_sSpawnPointName		Source/SCR_SpawnPoint.c	85
SCR_SpawnPoint	m_bSpawnPointEnabled	OnSetEnabled	Source/SCR_SpawnPoint.c	97
