symbol	kind	file	line	end_line	loc	parent	base
EScaleWidgetMode	enum	Carved/data/00008_ae9763b2.c	25	30	6		
RplKickCauseGroup	enum	Carved/data/00014_634bb337.c	117	122	6		
CinematicTrackAttribute	class	Carved/data/00034_bde28e08.c	2	12	11		UniqueAttribute
CinematicTrackAttribute	method	Carved/data/00034_bde28e08.c	7	7	1	CinematicTrackAttribute	
CinematicEventAttribute	class	Carved/data/00034_bde28e08.c	14	22	9		UniqueAttribute
CinematicEventAttribute	method	Carved/data/00034_bde28e08.c	18	18	1	CinematicEventAttribute	
BTNodeAttribute	class	Carved/data/00034_bde28e08.c	25	33	9		UniqueAttribute
BTNodeAttribute	method	Carved/data/00034_bde28e08.c	29	29	1	BTNodeAttribute	
BTNodeInAttribute	class	Carved/data/00034_bde28e08.c	35	37	3		BTNodeAttribute
BTNodeOutAttribute	class	Carved/data/00034_bde28e08.c	39	41	3		BTNodeAttribute
SignalInput	class	Carved/data/00035_a02ea9b6.c	10	19	10		
SignalInput	method	Carved/data/00035_a02ea9b6.c	15	15	1	SignalInput	
EItemInsertionResult	enum	Carved/data/00035_a02ea9b6.c	21	27	7		
RplSchedulerInsertionCtx	class	Carved/data/00035_a02ea9b6.c	29	32	4		
EDiagMenuGameLib	enum	Carved/data/00035_a02ea9b6.c	39	41	3		EDiagMenu
AttachPoint	sealed_class	Carved/data/00036_60c1bf3a.c	21	30	10		ScriptAndConfig
Set	method	Carved/data/00036_60c1bf3a.c	23	23	1	AttachPoint	
GetLocalTransform	method	Carved/data/00036_60c1bf3a.c	24	24	1	AttachPoint	
GetLocalTransformAxis	method	Carved/data/00036_60c1bf3a.c	26	26	1	AttachPoint	
GetWorldTransform	method	Carved/data/00036_60c1bf3a.c	27	27	1	AttachPoint	
GetWorldTransformAxis	method	Carved/data/00036_60c1bf3a.c	29	29	1	AttachPoint	
AutotestBase	sealed_class	Carved/data/00036_60c1bf3a.c	37	47	11		
AutotestBase	method	Carved/data/00036_60c1bf3a.c	39	39	1	AutotestBase	
AutotestBase	method	Carved/data/00036_60c1bf3a.c	40	40	1	AutotestBase	
Reset	method	Carved/data/00036_60c1bf3a.c	42	42	1	AutotestBase	
UpdateLastProcessingTime	method	Carved/data/00036_60c1bf3a.c	43	43	1	AutotestBase	
IsLastProcessingTime_Signal	method	Carved/data/00036_60c1bf3a.c	44	44	1	AutotestBase	
ResetLastProcessingTime_Signal	method	Carved/data/00036_60c1bf3a.c	45	45	1	AutotestBase	
SetLastProcessingTime_Treshold	method	Carved/data/00036_60c1bf3a.c	46	46	1	AutotestBase	
CharacterAnimGraphComponentClass	sealed_class	Carved/data/00037_bac29606.c	51	53	3		BaseAnimationControllerComponentClass
CinematicTrackBase	class	Carved/data/00037_bac29606.c	60	70	11		ScriptAndConfig
GetTrackName	method	Carved/data/00037_bac29606.c	62	62	1	CinematicTrackBase	
GetSceneName	method	Carved/data/00037_bac29606.c	63	63	1	CinematicTrackBase	
OnInit	method	Carved/data/00037_bac29606.c	67	67	1	CinematicTrackBase	
OnFinish	method	Carved/data/00037_bac29606.c	68	68	1	CinematicTrackBase	
OnApply	method	Carved/data/00037_bac29606.c	69	69	1	CinematicTrackBase	
CinematicTrackModifier	class	Carved/data/00037_bac29606.c	77	85	9		ScriptAndConfig
OnInit	method	Carved/data/00037_bac29606.c	79	79	1	CinematicTrackModifier	
OnApplyModifierBool	method	Carved/data/00037_bac29606.c	80	80	1	CinematicTrackModifier	
OnApplyModifierInt	method	Carved/data/00037_bac29606.c	81	81	1	CinematicTrackModifier	
OnApplyModifierFloat	method	Carved/data/00037_bac29606.c	82	82	1	CinematicTrackModifier	
OnApplyModifierVector	method	Carved/data/00037_bac29606.c	83	83	1	CinematicTrackModifier	
OnApplyModifierColor	method	Carved/data/00037_bac29606.c	84	84	1	CinematicTrackModifier	
DataError	enum	Carved/data/00043_24da2404.c	43	61	19		
ERCONPermissions	enum	Carved/data/00050_bca8bacd.c	135	140	6		
EServerCmdResultType	enum	Carved/data/00050_bca8bacd.c	147	163	17		
GameWorldEditor	class	Carved/data/00051_1af2ab9b.c	10	23	14		Managed
GetEditorAPI	method	Carved/data/00051_1af2ab9b.c	12	12	1	GameWorldEditor	
SaveWorld	method	Carved/data/00051_1af2ab9b.c	13	13	1	GameWorldEditor	
SaveWorldAs	method	Carved/data/00051_1af2ab9b.c	18	18	1	GameWorldEditor	
Undo	method	Carved/data/00051_1af2ab9b.c	19	19	1	GameWorldEditor	
Redo	method	Carved/data/00051_1af2ab9b.c	20	20	1	GameWorldEditor	
SwitchToGameMode	method	Carved/data/00051_1af2ab9b.c	21	21	1	GameWorldEditor	
SwitchToEditMode	method	Carved/data/00051_1af2ab9b.c	22	22	1	GameWorldEditor	
GenericComponentClass	class	Carved/data/00051_1af2ab9b.c	30	34	5		EntityComponentPrefabData
GenericComponentClass	method	Carved/data/00051_1af2ab9b.c	32	32	1	GenericComponentClass	
InputMappingKeyData	class	Carved/data/00055_4c90519c.c	76	78	3		ScriptAndConfig
KickCauseCode	sealed_class	Carved/data/00055_4c90519c.c	91	98	8		handle64
NewCode	method	Carved/data/00055_4c90519c.c	95	95	1	KickCauseCode	
GetGroup	method	Carved/data/00055_4c90519c.c	96	96	1	KickCauseCode	
GetReason	method	Carved/data/00055_4c90519c.c	97	97	1	KickCauseCode	
KickCauseGroup	enum	Carved/data/00055_4c90519c.c	105	113	9		
PawnEntityControllerFlags	enum	Carved/data/00074_3db153a4.c	7	12	6		
PawnEntitySystem	sealed_class	Carved/data/00074_3db153a4.c	19	23	5		WorldSystem
PossessPawn	method	Carved/data/00074_3db153a4.c	21	21	1	PawnEntitySystem	
DispossessPawn	method	Carved/data/00074_3db153a4.c	22	22	1	PawnEntitySystem	
PlatformKind	enum	Carved/data/00074_3db153a4.c	81	87	7		
PlatformRequestCallback	class	Carved/data/00074_3db153a4.c	94	96	3		Managed
PlayerId	sealed_class	Carved/data/00074_3db153a4.c	103	111	9		
PlayerId	method	Carved/data/00074_3db153a4.c	105	105	1	PlayerId	
PlayerId	method	Carved/data/00074_3db153a4.c	106	106	1	PlayerId	
Local	method	Carved/data/00074_3db153a4.c	108	108	1	PlayerId	
Invalid	method	Carved/data/00074_3db153a4.c	109	109	1	PlayerId	
IsValid	method	Carved/data/00074_3db153a4.c	110	110	1	PlayerId	
ProfanityFilterRequestCallback	class	Carved/data/00074_3db153a4.c	118	121	4		Managed
GetTexts	method	Carved/data/00074_3db153a4.c	120	120	1	ProfanityFilterRequestCallback	
PublicProfilesRequestCallback	class	Carved/data/00074_3db153a4.c	128	130	3		Managed
RplMode	enum	Carved/data/00074_3db153a4.c	138	144	7		
RplSession	sealed_class	Carved/data/00074_3db153a4.c	151	165	15		
RplSession	method	Carved/data/00074_3db153a4.c	153	153	1	RplSession	
RplSession	method	Carved/data/00074_3db153a4.c	154	154	1	RplSession	
mode	method	Carved/data/00074_3db153a4.c	157	157	1	RplSession	
TryGetListenAddress	method	Carved/data/00074_3db153a4.c	160	160	1	RplSession	
RegisterCallbacks	method	Carved/data/00074_3db153a4.c	162	162	1	RplSession	
Mode	method	Carved/data/00074_3db153a4.c	164	164	1	RplSession	
ScriptedWidgetTooltip	class	Carved/data/00075_92f4e99d.c	10	21	12		ScriptAndConfig
CheckOverflow	method	Carved/data/00075_92f4e99d.c	13	13	1	ScriptedWidgetTooltip	
Show	method	Carved/data/00075_92f4e99d.c	17	17	1	ScriptedWidgetTooltip	
Hide	method	Carved/data/00075_92f4e99d.c	18	18	1	ScriptedWidgetTooltip	
CreateTooltipWidget	method	Carved/data/00075_92f4e99d.c	20	20	1	ScriptedWidgetTooltip	
ScriptPlatformRequestCallback	class	Carved/data/00075_92f4e99d.c	28	31	4		PlatformRequestCallback
OnPrivilegeResult	method	Carved/data/00075_92f4e99d.c	30	30	1	ScriptPlatformRequestCallback	
ScriptProfanityFilterRequestCallback	class	Carved/data/00075_92f4e99d.c	38	41	4		ProfanityFilterRequestCallback
OnFilteredResult	method	Carved/data/00075_92f4e99d.c	40	40	1	ScriptProfanityFilterRequestCallback	
ScriptStringTableItem	class	Carved/data/00075_92f4e99d.c	49	54	6		ScriptAndConfig
ScriptStringTableItem	method	Carved/data/00075_92f4e99d.c	51	51	1	ScriptStringTableItem	
GetTargetPrefix	method	Carved/data/00075_92f4e99d.c	52	52	1	ScriptStringTableItem	
ShapePointDataScriptBase	class	Carved/data/00077_8182ab9b.c	7	9	3		ScriptAndConfig
TouchEvent	enum	Carved/data/00078_8b0bfd2c.c	103	108	6		
TransformResetParams	sealed_class	Carved/data/00078_8b0bfd2c.c	119	132	14		pointer
GetNewVelocity	method	Carved/data/00078_8b0bfd2c.c	126	126	1	TransformResetParams	
correction	method	Carved/data/00078_8b0bfd2c.c	128	128	1	TransformResetParams	
IsCorrection	method	Carved/data/00078_8b0bfd2c.c	131	131	1	TransformResetParams	
UserPrivilege	enum	Carved/data/00078_8b0bfd2c.c	194	205	12		
UserPrivilegeResult	enum	Carved/data/00078_8b0bfd2c.c	212	218	7		
WeatherFogPattern	class	Carved/data/00078_8b0bfd2c.c	225	233	9		ScriptAndConfig
GetMinFogAmount	method	Carved/data/00078_8b0bfd2c.c	227	227	1	WeatherFogPattern	
GetMaxFogAmount	method	Carved/data/00078_8b0bfd2c.c	228	228	1	WeatherFogPattern	
GetMinFogHeightDensity	method	Carved/data/00078_8b0bfd2c.c	229	229	1	WeatherFogPattern	
GetMaxFogHeightDensity	method	Carved/data/00078_8b0bfd2c.c	230	230	1	WeatherFogPattern	
GetMinDurationHours	method	Carved/data/00078_8b0bfd2c.c	231	231	1	WeatherFogPattern	
GetMaxDurationHours	method	Carved/data/00078_8b0bfd2c.c	232	232	1	WeatherFogPattern	
WeatherLightning	class	Carved/data/00078_8b0bfd2c.c	240	245	6		
SetPosition	method	Carved/data/00078_8b0bfd2c.c	242	242	1	WeatherLightning	
SetRadius	method	Carved/data/00078_8b0bfd2c.c	243	243	1	WeatherLightning	
AddLightningFlash	method	Carved/data/00078_8b0bfd2c.c	244	244	1	WeatherLightning	
WeatherLightningFlash	class	Carved/data/00078_8b0bfd2c.c	252	257	6		
SetStartTime	method	Carved/data/00078_8b0bfd2c.c	254	254	1	WeatherLightningFlash	
SetDuration	method	Carved/data/00078_8b0bfd2c.c	255	255	1	WeatherLightningFlash	
SetCooldown	method	Carved/data/00078_8b0bfd2c.c	256	256	1	WeatherLightningFlash	
WeatherLightningPattern	class	Carved/data/00078_8b0bfd2c.c	264	270	7		ScriptAndConfig
GetFrequencySeconds	method	Carved/data/00078_8b0bfd2c.c	266	266	1	WeatherLightningPattern	
GetPerturbationRangeSeconds	method	Carved/data/00078_8b0bfd2c.c	267	267	1	WeatherLightningPattern	
GetMinDurationHours	method	Carved/data/00078_8b0bfd2c.c	268	268	1	WeatherLightningPattern	
GetMaxDurationHours	method	Carved/data/00078_8b0bfd2c.c	269	269	1	WeatherLightningPattern	
WeatherManager	class	Carved/data/00078_8b0bfd2c.c	277	282	6		
WeatherManager	method	Carved/data/00078_8b0bfd2c.c	279	279	1	WeatherManager	
GetRegisteredWeatherManagerEntity	method	Carved/data/00078_8b0bfd2c.c	281	281	1	WeatherManager	
WeatherRainPattern	class	Carved/data/00078_8b0bfd2c.c	289	295	7		ScriptAndConfig
GetMinIntensity	method	Carved/data/00078_8b0bfd2c.c	291	291	1	WeatherRainPattern	
GetMaxIntensity	method	Carved/data/00078_8b0bfd2c.c	292	292	1	WeatherRainPattern	
GetMinDurationHours	method	Carved/data/00078_8b0bfd2c.c	293	293	1	WeatherRainPattern	
GetMaxDurationHours	method	Carved/data/00078_8b0bfd2c.c	294	294	1	WeatherRainPattern	
WeatherStateMachine	class	Carved/data/00079_55f5aa04.c	7	15	9		ScriptAndConfig
GetState	method	Carved/data/00079_55f5aa04.c	9	9	1	WeatherStateMachine	
GetStatesList	method	Carved/data/00079_55f5aa04.c	11	11	1	WeatherStateMachine	
GetNumStates	method	Carved/data/00079_55f5aa04.c	12	12	1	WeatherStateMachine	
GetStartStateName	method	Carved/data/00079_55f5aa04.c	13	13	1	WeatherStateMachine	
GetStartStateIndex	method	Carved/data/00079_55f5aa04.c	14	14	1	WeatherStateMachine	
WeatherTransition	class	Carved/data/00080_da29f5a5.c	7	13	7		ScriptAndConfig
GetDestinationName	method	Carved/data/00080_da29f5a5.c	9	9	1	WeatherTransition	
GetProbability	method	Carved/data/00080_da29f5a5.c	10	10	1	WeatherTransition	
GetDurationMin	method	Carved/data/00080_da29f5a5.c	11	11	1	WeatherTransition	
GetDurationMax	method	Carved/data/00080_da29f5a5.c	12	12	1	WeatherTransition	
WeatherTransitionRequestResponse	enum	Carved/data/00080_da29f5a5.c	20	42	23		
WeatherVariant	class	Carved/data/00080_da29f5a5.c	49	61	13		ScriptAndConfig
GetWindPattern	method	Carved/data/00080_da29f5a5.c	51	51	1	WeatherVariant	
GetRainPattern	method	Carved/data/00080_da29f5a5.c	52	52	1	WeatherVariant	
GetFogPattern	method	Carved/data/00080_da29f5a5.c	53	53	1	WeatherVariant	
GetLightningPattern	method	Carved/data/00080_da29f5a5.c	54	54	1	WeatherVariant	
GetVariantName	method	Carved/data/00080_da29f5a5.c	56	56	1	WeatherVariant	
GetDurationMin	method	Carved/data/00080_da29f5a5.c	57	57	1	WeatherVariant	
GetDurationMax	method	Carved/data/00080_da29f5a5.c	58	58	1	WeatherVariant	
GetNumTransitions	method	Carved/data/00080_da29f5a5.c	59	59	1	WeatherVariant	
