source	target	action	class	writer	note
documentation_v2/README.md	documentation_v2/pending_merge/P3-2/documentation_v2__readme.md	merge-into	live-rewrite	P3-2	ORDER:1 documentation_v2/README.md
documentation_v2/design_system/design_tokens.md	documentation_v2/pending_merge/F17/design_tokens.md	merge-into	live-rewrite	F17	ORDER:1 documentation_v2/design_system/design_tokens.md
documentation_v2/mod/README.md	documentation_v2/pending_merge/F11/documentation_v2__mod__readme.md	merge-into	live-rewrite	F11	ORDER:1 documentation_v2/mod/README.md
documentation_v2/runbooks/local_development.md	documentation_v2/pending_merge/F13/local_development.md	merge-into	live-rewrite	F13	ORDER:1 documentation_v2/runbooks/local_development.md
documentation_v2/website/frontend/README.md	documentation_v2/pending_merge/F04/documentation_v2__website__frontend__readme.md	merge-into	live-rewrite	F04	ORDER:1 documentation_v2/website/frontend/README.md
documentation_v2/website/frontend/apps/editor/README.md	documentation_v2/pending_merge/F08/documentation_v2__website__frontend__apps__editor__readme.md	merge-into	live-rewrite	F08	ORDER:1 documentation_v2/website/frontend/apps/editor/README.md
.ai/artifacts/missed_items_handoff.md	documentation_v2/tickets/specs/t166_missed_items_handoff.md	move+rename	frozen	-	spec of T-166, T-167, T-168, T-169, T-170
.ai/artifacts/t068_10_5_weapon_families.md	documentation_v2/tickets/specs/t068_10_5_weapon_families.md	move	frozen	-	T-068.10.5 citations (basename); T-068.10.5 notes (basename)
.ai/artifacts/t159_15_render_loop_handoff.md	documentation_v2/tickets/specs/t159_15_render_loop_handoff.md	move	frozen	-	T-159.15.0 citations (basename); T-159.15.0 spec names docs/platform/t159_15_render_loop_handoff.md (not tracked)
apps/website/api_v2/ANALYSIS_AND_INVENTORY.md	documentation_v2/archive/api_v2_refactor/analysis_and_inventory.md	archive	archive	-	-
apps/website/api_v2/ARCHITECTURE_PLAN.md	documentation_v2/archive/api_v2_refactor/architecture_plan.md	archive	archive	-	-
apps/website/api_v2/PHASE_1_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_1_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_2_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_2_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_3_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_3_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_4_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_4_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_5_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_5_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_6_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_6_handoff.md	archive	archive	-	-
apps/website/api_v2/PHASE_7_HANDOFF.md	documentation_v2/archive/api_v2_refactor/phase_7_handoff.md	archive	archive	-	-
apps/website/frontend/src/v2/MIGRATION.md	documentation_v2/archive/frontend_v2_migration/migration.md	archive	archive	-	-
apps/website/frontend/src/v2/pages/administration/approvals/page.md	documentation_v2/pending_merge/F01/administration__approvals__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/approvals/mission_approvals_page.md
apps/website/frontend/src/v2/pages/administration/audit_logs/page.md	documentation_v2/pending_merge/F01/administration__audit_logs__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/audit_logs/audit_logs_page.md
apps/website/frontend/src/v2/pages/administration/content_manager/page.md	documentation_v2/pending_merge/F01/administration__content_manager__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/content_manager/content_manager_page.md
apps/website/frontend/src/v2/pages/administration/event_manager/page.md	documentation_v2/pending_merge/F01/administration__event_manager__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/event_manager/event_manager_page.md
apps/website/frontend/src/v2/pages/administration/personnel/page.md	documentation_v2/pending_merge/F01/administration__personnel__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/personnel/personnel_roster_page.md
apps/website/frontend/src/v2/pages/administration/server_control/page.md	documentation_v2/pending_merge/F01/administration__server_control__page.md	merge-into	live-rewrite	F01	documentation_v2/website/frontend/pages/administration/server_control/server_control_page.md
apps/website/frontend/src/v2/pages/command_center/announcements/page.md	documentation_v2/pending_merge/F02/command_center__announcements__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/command_center/announcements/announcements_page.md
apps/website/frontend/src/v2/pages/command_center/dashboard/page.md	documentation_v2/pending_merge/F02/command_center__dashboard__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/command_center/dashboard/dashboard_page.md
