writer	wave	folders	units (a unit is a subtree root; "(folder only)" = that folder's own README, its subfolders are other units)
R02	W4.1	15	apps/website/api_v2/src/missions ; apps/website/api_v2/src/operations
R03	W4.1	14	apps/website/frontend
R04	W4.1	18	apps/website/frontend/src/v2/pages (folder only) ; apps/website/frontend/src/v2/pages/command_center ; apps/website/frontend/src/v2/pages/mission_hub ; apps/website/frontend/src/v2/pages/operations
R05.1	W4.1	11	apps/website/frontend/src/v2/pages/account ; apps/website/frontend/src/v2/pages/doctrine_and_info ; apps/website/frontend/src/v2/pages/field_tools ; apps/website/frontend/src/v2/pages/navigation
R05.2	W4.2	13	apps/website/frontend/src/v2/pages/administration
R06.1	W4.2	16	apps/website/frontend/src/v2/apps/editor/ui (folder only) ; apps/website/frontend/src/v2/apps/editor/ui/arsenal ; apps/website/frontend/src/v2/apps/editor/ui/inspector ; apps/website/frontend/src/v2/apps/editor/ui/modals
R06.2	W4.2	19	apps/website/frontend/src/v2/apps/editor/ui/docks ; apps/website/frontend/src/v2/apps/editor/ui/outliner
R07.1	W4.2	16	apps/website/frontend/src/v2/apps (folder only) ; apps/website/frontend/src/v2/apps/aar ; apps/website/frontend/src/v2/apps/debug ; apps/website/frontend/src/v2/apps/editor (folder only) ; apps/website/frontend/src/v2/apps/editor/arsenal ; apps/website/frontend/src/v2/apps/planner
R07.2	W4.3	19	apps/website/frontend/src/v2/apps/editor/bridge ; apps/website/frontend/src/v2/apps/editor/input ; apps/website/frontend/src/v2/apps/editor/mission_editor ; apps/website/frontend/src/v2/apps/editor/shell
R08.1	W4.3	13	apps/website/map-engine/src/data (folder only) ; apps/website/map-engine/src/data/scenario (folder only) ; apps/website/map-engine/src/data/scenario/ast ; apps/website/map-engine/src/data/scenario/ballistics ; apps/website/map-engine/src/data/scenario/compiler ; apps/website/map-engine/src/data/scenario/slot_line ; apps/website/map-engine/src/data/scenario/validation
R08.2	W4.3	11	apps/website/map-engine/src/data/scenario/extensions
R08.3	W4.3	12	apps/website/map-engine/src/data/store
R09.1	W4.4	16	apps/website/map-engine/src/spatial ; apps/website/map-engine/src/world (folder only) ; apps/website/map-engine/src/world/environment
R09.2	W4.4	13	apps/website/map-engine/src/streaming
R09.3	W4.4	16	apps/website/map-engine/src/world/architecture ; apps/website/map-engine/src/world/terrain
R10.1	W4.4	16	apps/website/map-engine (folder only) ; apps/website/map-engine/src (folder only) ; apps/website/map-engine/src/camera ; apps/website/map-engine/src/diagnostics ; apps/website/map-engine/src/frame ; apps/website/map-engine/src/shaders
R10.2	W4.5	13	apps/website/map-engine/src/doll ; apps/website/map-engine/src/io
R10.3	W4.5	19	apps/website/map-engine/src/editing ; apps/website/map-engine/src/overlay
R11.1	W4.5	16	apps ; assets_v2 (folder only)
