ticket	field	old_string	new_string	rule	note
T-001	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-002	context	TRACKING.md	documentation_v2/website/frontend/README.md	rewrite	parent file; bare basename of docs/website/frontend/TRACKING.md; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-002	approach	TRACKING.md	documentation_v2/website/frontend/README.md	rewrite	parent file; bare basename of docs/website/frontend/TRACKING.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-002	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-003	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-004	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-005	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-006	current_state	BACKEND_ARCHITECTURE.md	documentation_v2/archive/go_and_react_era_design/go_backend_architecture_plan.md	rewrite	parent file; bare basename of docs/website/BACKEND_ARCHITECTURE.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__website__backend_architecture.md; points at its real target docs/website/backend/architecture.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-006	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-008	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-009	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
